[INFO ] [2021-09-17 18:04:58,096] Pre-Condition - Open browser 'firefox' with url: 'https://demo.nopcommerce.com/'
[INFO ] [2021-09-17 18:05:05,083]  Register_00 - Step 1: Verify Home Page Slider is displayed
[INFO ] [2021-09-17 18:05:05,204]  Register_00 - Step 2: Click to Register link
[INFO ] [2021-09-17 18:05:06,688]  Register_00 - Step 3: Check to Gender Male radio button
[INFO ] [2021-09-17 18:05:06,992]  Register_00 - Step 4: Enter to First Name textbox with data 'Cristiano'
[INFO ] [2021-09-17 18:05:07,127]  Register_00 - Step 5: Enter to Last Name textbox with data 'Ronaldo'
[INFO ] [2021-09-17 18:05:07,253]  Register_00 - Step 6: Enter to Email textbox with data 'cr7_89879@mail.com'
[INFO ] [2021-09-17 18:05:07,379]  Register_00 - Step 7: Enter to Password textbox with data '123456'
[INFO ] [2021-09-17 18:05:07,495]  Register_00 - Step 8: Enter to Confirm Password textbox with data '123456'
[INFO ] [2021-09-17 18:05:07,677]  Register_00 - Step 9: Click To Register Button
[INFO ] [2021-09-17 18:05:09,797]  Register_00 - Step 10: Verify Success Message is displayed with content 'Your registration completed'
[INFO ] [2021-09-17 18:05:09,905]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 18:05:09,906]  Register_00 - Step 11: Click To Logout Link
[INFO ] [2021-09-17 18:05:11,651]  Register_01 - Step 1: Verify Home Page Slider is displayed
[INFO ] [2021-09-17 18:05:11,746]  Register_01 - Step 2: Click to Register link
[INFO ] [2021-09-17 18:05:12,865]  Register_01 - Step 3: Check to Gender Male radio button
[INFO ] [2021-09-17 18:05:13,172]  Register_01 - Step 4: Enter to First Name textbox with blank data
[INFO ] [2021-09-17 18:05:13,287]  Register_01 - Step 5: Enter to Last Name textbox with blank data
[INFO ] [2021-09-17 18:05:13,396]  Register_01 - Step 6: Enter to Email textbox with blank data
[INFO ] [2021-09-17 18:05:13,509]  Register_01 - Step 6: Enter to Password textbox with blank data
[INFO ] [2021-09-17 18:05:13,614]  Register_01 - Step 7: Enter to Confirm Password textbox with blank data
[INFO ] [2021-09-17 18:05:13,726]  Register_01 - Step 8: Click To Register Button
[INFO ] [2021-09-17 18:05:14,042]  Register_01 - Step 9: Verify error messages displayed on 5 texboxes
[INFO ] [2021-09-17 18:05:14,112]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 18:05:14,181]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 18:05:14,244]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 18:05:14,308]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 18:05:14,373]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 18:05:14,383]  Register_02 - Step 1: Check to Gender Male radio button
[INFO ] [2021-09-17 18:05:14,692]  Register_02 - Step 2: Enter to First Name textbox with data 'Cristiano'
[INFO ] [2021-09-17 18:05:14,828]  Register_02 - Step 3: Enter to Last Name textbox with data 'Ronaldo'
[INFO ] [2021-09-17 18:05:14,957]  Register_02 - Step 4: Enter to Email textbox with data '12@nn'
[INFO ] [2021-09-17 18:05:15,078]  Register_02 - Step 5: Enter to Password textbox with data '123456'
[INFO ] [2021-09-17 18:05:15,223]  Register_02 - Step 6: Enter to Confirm Password textbox with data '123456'
[INFO ] [2021-09-17 18:05:15,346]  Register_02 - Step 7: Click To Register Button
[INFO ] [2021-09-17 18:05:15,838]  Register_02 - Step 8: Verify error message is displayed with content 'Wrong email'
[INFO ] [2021-09-17 18:05:15,926]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 18:05:15,931]  Register_03 - Step 1: Check to Gender Male radio button
[INFO ] [2021-09-17 18:05:16,219]  Register_03 - Step 2: Enter to First Name textbox with data 'Cristiano'
[INFO ] [2021-09-17 18:05:16,349]  Register_03 - Step 3: Enter to Last Name textbox with data 'Ronaldo'
[INFO ] [2021-09-17 18:05:16,471]  Register_03 - Step 4: Enter to Email textbox with data 'cr7_62630@mail.com'
[INFO ] [2021-09-17 18:05:16,602]  Register_03 - Step 5: Enter to Password textbox with data '123456'
[INFO ] [2021-09-17 18:05:16,706]  Register_03 - Step 6: Enter to Password textbox with data '123456'
[INFO ] [2021-09-17 18:05:16,803]  Register_03 - Step 7: Click To Register Button
[INFO ] [2021-09-17 18:05:17,291]  Register_03 - Step 8: Verify error message is displayed with content 'The specified email already exists'
[INFO ] [2021-09-17 18:05:17,366]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-17 18:05:17,372]  Register_04 - Step 1: Check to Gender Male radio button
